title,url,author,language,words,chapters,summary,tags
Chrysalis,https://archiveofourown.org/works/1970511,cunninglingus,English,177083,19,"The aging, widowed Allfather has found himself a sweet little pet, and Thor's not jealous. Nope.","Rape/Non-Con, Loki/Thor, Loki & Odin (Marvel), Loki (Marvel), Thor (Marvel), Odin (Marvel), Helblindi (Marvel), slave!Loki, Dark!Thor, Gratuitous Smut, Dubious Consent, Intersex Loki, Mpreg, Jotunn Loki (Marvel), Slow Burn"
Do Every Stupid Thing,https://archiveofourown.org/works/10593966,thepartyresponsible,English,108287,26,"Jason doesn’t mean for the Winter Soldier to be a present for Tony Stark. The youngest Stark isn’t supposed to be involved at all. The plan is simple: intervene before the Winter Soldier can murder Howard and Maria, tranq the Winter Soldier until he’s sufficiently incapacitated, and then drag him off for further study and let the Starks carry on with their fraught, bourgeoisie bullshit.","Graphic Depictions Of Violence, James ""Bucky"" Barnes/Tony Stark, Tony Stark/Jason Todd, James ""Bucky"" Barnes/Jason Todd, James ""Bucky"" Barnes/Jason Todd/Tony Stark, James ""Bucky"" Barnes, Tony Stark, Jason Todd, Phil Coulson, Clint Barton, Dick Grayson, Tim Drake, Alternate Universe, Alternate Timelines, Canon-Typical Violence, Slow Burn, Canonical Character Death, Imprisonment, Idiots in Love, Threesome - M/M/M, Alternate Universe - Canon Divergence, Drug Use, Emotional Hurt/Comfort, Internalized Homophobia"
Damaged Defenders,https://archiveofourown.org/works/816544,Sherza,English,354417,141,"Thor takes a good look at Loki once he has hauled him back onto the quinjet, and realizes that there is something odd about Loki's eyes. Thor has grown and changed much in the last year, and no longer takes anything for granted. So he starts asking questions. It doesn't take long to figure out that Loki is not acting of his own free will.Tony Stark knows what it is to be forced to do as an enemy commands. Steve Rogers has seen the atrocities manipulative madmen are willing to commit. Clint, Logan, Bruce and Natasha have been subjected to said madmen. They all know what it is to lose themselves, and to seek redemption.Together, this band of broken heroes draws a line in the sand. They will not tolerate any tyrant, foreign or domestic. That includes Nick Fury and the WSC, who have used everyone on the team for their own aims. It includes Thaddeus 'Thunderbolt' Ross, who has hunted Bruce against all reason. It includes Odin, who treats his sons like commodities. And it includes Thanos, who has delusions of conquering Earth.Along the way, they learn to trust each other. They learn to help each other. They become a family.","Creator Chose Not To Use Archive Warnings, Pepper Potts/Tony Stark, Bruce Banner/Betty Ross, Jane Foster/Thor, Jean Grey/Scott Summers, Tony Stark, Nick Fury, Pepper Potts, Bruce Banner, Betty Ross, Thor, Jane Foster, Natasha Romanov, Clint Barton, Phil Coulson, Charles Xavier, Scott Summers, Jean Grey, Ororo Munroe, Remy LeBeau, Logan (X-Men), Warren Worthington III, Hank McCoy, Kurt Wagner, Thanos, Darcy Lewis, Erik Selvig, Steve Rogers, Jarvis (Iron Man movies), Dummy (Iron Man movies), Butterfingers (Iron Man movies), You (Iron Man movies), Thaddeus Ross, Loki (Marvel), Hulk (Marvel), Odin (Marvel), Frigga (Marvel), Heimdall (Marvel), Sif (Marvel), Warriors Three, James ""Rhodey"" Rhodes, John Allerdyce, Rogue (X-Men), Tyr (Marvel), Farbauti (Marvel), Byleistr (Marvel), Cecelia Reyes, James ""Bucky"" Barnes, Sam Wilson, Peter Parker, Laura Kinney, X-23, May Parker, Baron Zemo, Helblindi (Marvel), Movie AU, Fix-It, Do not fuck with the Avengers, Friendship, Families of Choice, Team Dynamics, Team Bonding, Team as Family, Odin's A+ Parenting, Howard Stark's A+ Parenting, PTSD, Amnesia, Aftermath of Torture, Mention of torture, Mention of past suicidal ideation, References to Brainwashing, Past Brainwashing, past human experimentation, References to Past Child Abuse, Flashbacks, References to Underage Prostitution, Rampant Badassery, All the Mutants, Internalized racism, Hydra, Red Room, Objectification, Dehumanization, BUCKY BARNES POV FEELS, science geekery, Fanboying, Women Being Badass and Awesome"
A Parent Apparent,https://archiveofourown.org/works/18003677,happyaspie,English,529000,155,"In which the author indulges herself in some shameless Irondad/Spiderson with fluff, angst and everything in between because she needs more of that in her life.ORJust another one of those, oh so overdone, fanfics where Tony and Peter's relationship grows into more of a father/son relationship after an accident involving Aunt May (who lives)","No Archive Warnings Apply, Peter Parker & Tony Stark, May Parker (Spider-Man) & Peter Parker & Tony Stark, James ""Rhodey"" Rhodes & Tony Stark, Pepper Potts/Tony Stark, Peter Parker & Pepper Potts, May Parker (Spider-Man) & Pepper Potts, Ned Leeds & Peter Parker, Bruce Banner & Tony Stark, Bruce Banner & Peter Parker, Michelle Jones/Peter Parker, Peter Parker, Tony Stark, May Parker (Spider-Man), James Rhodes, Happy Hogan, Pepper Potts, Friday (Marvel), Ned Leeds, Thor (Marvel), Bruce Banner, Nick Fury, Loki (Marvel), Michelle Jones, Flash Thompson, Steve Rogers, Sam Wilson (Marvel), Natasha Romanov (Marvel), Clint Barton, Hurt Aunt May, Protective Peter Parker, Tony Stark Acting as Peter Parker's Parental Figure, Not Canon Compliant, Angst, Language, Peter Parker Needs a Hug, Nightmares, Self-Doubt, Tony Stark Has a Heart, Peter Parker Gets a Hug, Anxious Peter Parker, Platonic Cuddling, Panic Attacks, Precious Peter Parker, Peter Parker is a Little Shit, Awesome Pepper Potts, Hurt Peter Parker, May Parker (Spider-Man) & Tony Stark Coparenting Peter Parker, Ned Leeds is a Good Bro, In this house there is no infinity war, Endgame never happens, Headaches & Migraines, Sick Peter Parker, Vomiting, Peter Can Talk Tony into Anything, Road Trips, Illnesses, Sick Character, Intergalactic Refugees, Peter Turns Sixteen, Flash Thompson Being a Jerk, Hurt Tony Stark, Protective Tony Stark, Adopted Peter Parker, Mentions of Under-aged Drinking, Sick Tony Stark, Christmas Morning, Protective Pepper Potts, Sensory Overload, Complete, Emotional Hurt/Comfort, Hurt/Comfort, Fluff, Wedding Fluff"
If They Knew All About You,https://archiveofourown.org/works/16757809,MsHermia,English,521071,96,"Tony Stark had lost his son when he was only 2 years old, stolen away in broad daylight with nobody the wiser of what exactly happened. Years later, Tony has just made it through the disaster with Ultron. He is trying to keep himself and the team together but relationships are strained and tempers are running high.Then a random turn of events leads to his path crossing with that of a particular vigilante. They are strangers to each other, or so they think. Peter Parker is on top of the world. After a few shitty years, losing his parents and then losing his Uncle, things are finally looking up. Sure he lives in a crappy little apartment with his Aunt but he might have just found his mission in life.------This is an AU story obvious by some of the tags. I'm starting out a few weeks after Age of Ultron took place. Civil War will be a thing.","No Archive Warnings Apply, Pepper Potts/Tony Stark, Tony Stark & Avengers Team, Peter Parker & Tony Stark, Steve Rogers & Tony Stark, May Parker (Spider-Man) & Peter Parker, Pepper Potts, Tony Stark, Steve Rogers, Happy Hogan, Peter Parker, Natasha Romanov (Marvel), Clint Barton, May Parker (Spider-Man), Sam Wilson (Marvel), James Rhodes, Other Marvel Characters, Thaddeus Ross, Ned Leeds, James ""Bucky"" Barnes, Post-Avengers: Age of Ultron (Movie), Tony-centric, Parent Tony Stark, Civil War Team Iron Man, Peter Parker is Tony Stark's Biological Child, AU, Fix-It of Sorts, Hurt Tony Stark, Not Spider-Man: Homecoming Compliant, Sort of Captain America: Civil War (Movie) Compliant, Tony Stark Needs a Hug, Protective Pepper Potts, Irondad, Hurt Peter Parker, Kidnapping, Past Pepper Potts/Tony Stark, Clint Barton Is a Good Bro, Panic Attacks, Anxiety Attacks, Protective Tony Stark, Pepperony - Freeform, spiderson, Whump, Peter Parker Whump, Slow Burn, Canon-Typical Violence, Tony Stark Has a Heart, Tony Stark Acting as Peter Parker's Parental Figure, Peter Parker Angst, Tony Stark Feels, Natasha Romanov Is Not A Robot, Long, Minor Character Death"
for a hundred visions and revisions,https://archiveofourown.org/works/23624704,aventria,English,181331,7,"Dr. Strange looks at the world after Thanos and, faced with its seemingly irreparable brokenness, breaks his own oath. Tony, Stephen, and Loki go back in time for one more chance - an intentional choice, because they are each other's insurance against repeating the same mistakes. Tony wakes up shortly before the Stark Expo with the reactor's palladium core still poisoning him. Stephen wakes up with undamaged hands and a flourishing medical career. Loki wakes up in Asgard one day before Thor's coronation. 
""Do I dare disturb the universe? / In a minute there is time / for decisions and revisions which a minute will reverse.""
 
[  Yet another take on that time travel fic with lots of worldbuilding, hand-wavey comic book science, political intrigue, inventing, nerding out, and a broken Tony trying to fix a broken world - but this time he's not alone. ]","Graphic Depictions Of Violence, Major Character Death, Tony Stark/Stephen Strange, Tony Stark & Stephen Strange, Pepper Potts & Tony Stark, James ""Rhodey"" Rhodes & Tony Stark, Jane Foster/Thor, Loki & Thor (Marvel), Christine Palmer & Stephen Strange, Harley Keener & Peter Parker, Tony Stark, Stephen Strange, Loki (Marvel), Pepper Potts, James ""Rhodey"" Rhodes, Peter Parker, Avengers Team (MCU), Christine Palmer, Jarvis (Iron Man movies), James ""Bucky"" Barnes, Ancient One (Marvel), Wong (Marvel), Harley Keener, Slow Burn, Worldbuilding, Comic Book Science, Canon-Typical Violence, Time Travel, Alternate Universe - Time Travel, Time Travel Fix-It, Plotty, So wildly AU it's in a different dimension, Politics, Morally Ambiguous Character, Moral Ambiguity, Fix-It, Self-Indulgent, People may be out of character, Alternate Universe, Alternate Universe - Canon Divergence, BAMF Tony Stark, BAMF Stephen Strange, BAMF Loki (Marvel), Intersex Loki (Marvel), Asgardian Culture (Marvel), Asgardian Magic (Marvel), IronStrange, Jotunn Loki (Marvel)"
Poetic Justice,https://archiveofourown.org/works/635514,Limmet,English,311470,142,"When the time comes to pass sentence on Loki after the events in The Avengers, Odin decides to go for the poetic justice angle. For his attempt to enslave humanity, Loki has his magic and powers bound, and is sent back to Midgard and given over to Tony Stark to be his slave. This was not a turn of events Tony had ever seen coming. Eventually Tony/Loki.","No Archive Warnings Apply, Loki/Tony Stark, Loki (Marvel), Tony Stark, Other Avengers, Slavery, Angst, Drama, Romance, Slash, FrostIron - Freeform"
Empathic Responses,https://archiveofourown.org/works/15118655,waterbird13,English,137394,34,"In a world that still considers alphas the protectors, betas the every-day masses to fill out the ranks, and omegas as homemakers and glorified objects, Tony Stark is born.Tony is born an omega in a world where that means he’s a homemaker, a provider, with limited opportunities and a lack of autonomy.Tony says fuck that, no matter what the rest of the world is telling him.As the Rogues return, Tony is left dealing with the world coming down around his ears. The Accords, Aliens, and, of course, the alpha who somehow just moved into his life.","No Archive Warnings Apply, James ""Bucky"" Barnes/Tony Stark, James ""Rhodey"" Rhodes & Tony Stark, Pepper Potts & Tony Stark, Peter Parker & Tony Stark, one sided Tony Stark/Thanos, Tony Stark, James ""Bucky"" Barnes, James ""Rhodey"" Rhodes, Pepper Potts, Peter Parker, Steve Rogers, Thaddeus Ross, Natasha Romanov (Marvel), Clint Barton, Scott Lang, Vision (Marvel), Wanda Maximoff, T'Challa (Marvel), Shuri (Marvel), Sam Wilson, Christine Everhart, Okoye (Marvel), Thanos, Gamora, Nakia, Carol Danvers, Nebula, Thor, Alpha/Beta/Omega Dynamics, Omega Tony Stark, Alpha Bucky Barnes, Alpha Steve Rogers, Alpha James ""Rhodey"" Rhodes, Omega Peter Parker, Consent Issues, Oppression, fucked up dynamics, serious study and subversion of the trope, attemped forced mating, (not between Tony and Bucky), Tony is a badass, Tony Stark Needs a Hug, former Pepper Potts/Tony Stark, Former Steve Rogers/Tony Stark, Overcoming Obstacles, good guy Bucky Barnes, alpha voice, Post Civil War, Civil War Team Iron Man, team accords, even when they're being dicks to Tony, Tony sees them as a brighter future, will always be team accords, Steve Rogers is not always a good guy, like he doesn't think he's bad but he doesn't get it, I'll add more tags as needed, Slow Burn, Background Pepper Potts/Happy Hogan - Freeform, Aliens, build up to Infinity War, NSFW, chapter twelve is nsfw, chapter eighteen is nsfw, chapter twenty-three is nsfw, Infinity War, chapter twenty-four reaches infinity war, Temporary Character Death, Attempted Rape/Non-Con, thanos is awful, Minor Carol Danvers/James ""Rhodey"" Rhodes"
When The Stars Come Calling,https://archiveofourown.org/works/8616445,lazywriter7,English,108314,17,"The man who, fuck knows, sprouted fully formed out of the ground in the middle of the Fort Knox times a zillion highly secured Avengers facility- gaped at the earbuds trailing from Tony's ears. ""Is that tiny stick playing music .""A very slow, ominous kind of horror was starting to dawn over Tony's mind. "" Please don't tell me you were frozen in ice for ninety years.""""Don't be ridiculous- I was in space."" The man said. He plucked a plastic bag off of Tony's counter and proffered it. ""Blueberry?""~Or, how Tony Stark got his groove back, with the assistance of one Peter Quill.","Creator Chose Not To Use Archive Warnings, Peter Quill/Tony Stark, James ""Rhodey"" Rhodes & Tony Stark, Tony Stark & Guardians of the Galaxy Team, Tony Stark, Peter Quill, James ""Rhodey"" Rhodes, Pepper Potts, Friday (Marvel), Steve Rogers, Rocket Raccoon, Gamora (Marvel), Groot (Marvel), Drax the Destroyer, Avengers Team, Vision (Marvel), Peter Parker, Post-Captain America: Civil War (Movie), Tony Stark Has a Heart, Peter Quill Feels, Peter Quill Fixes Things, BAMF Tony Stark, Companionable Snark, Protective Bots, Eventually Happy Stark, Team as Family, Stark In Space, Flying, Spaceships, Healing, Friendship/Love, Angst and Humor, Not Guardians of the Galaxy Vol. 2 Compliant, Not Avengers: Infinity War Part 1 (Movie) Compliant, Past Steve Rogers/Tony Stark"
A Deal with the Devil,https://archiveofourown.org/works/1163358,IBegToDreamAndDiffer,English,341278,81,... or with the Norse God of Mischief and Lies. Tony has a proposition for Loki. Loki would be lying if he said he wasn't intrigued.,"Graphic Depictions Of Violence, Loki/Tony Stark, Tony Stark, Loki (Marvel), Bruce Banner, Clint Barton, Steve Rogers, Natasha Romanov, Thor (Marvel), Pepper Potts, Nick Fury, Phil Coulson, Stephen Strange, James ""Rhodey"" Rhodes, Dark!Tony, Dark!Loki, Magic, Tony and Loki are not nice people in this story, Explicit Sexual Content, Explicit Language, Magical Contracts, Romance, Avengers!bashing, Magic!Tony, God!Tony, SHIELD will fall"
